rank,Protein,Bait,rep1,rep2,pi1,pi2,pi3,gamma3,gamma3_avg,FDR
1653,SKI,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9048712165752295
1653,SKI,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9048712165752295
1653,SLC35A4,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9044631887051477
1653,SLC35A4,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9044631887051477
1653,SLX4IP,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9048905595568124
1653,SLX4IP,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9048905595568124
1653,TBC1D1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9041499532582794
1653,TBC1D1,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9041499532582794
1653,TCF12,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9041106543461261
1653,TCF12,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9041106543461261
1653,TIMM17A,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9048325069990648
1653,TIMM17A,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9048325069990648
1653,TMEM97,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9047743835302124
1653,TMEM97,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9047743835302124
1653,TOMM40L,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9046579233388511
1653,TOMM40L,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9046579233388511
1653,UBE2G2,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9044826979580158
1653,UBE2G2,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9044826979580158
1653,UQCR10,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9048518657242481
1653,UQCR10,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9048518657242481
1653,WDTC1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9040713231953248
1653,WDTC1,TMEMmyc,1.0,3.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9040713231953248
1653,ZNF696,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9040122659348253
1653,ZNF696,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9040122659348253
1653,ZNF714,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9040319597661887
1653,ZNF714,TMEMmyc,4.0,0.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9040319597661887
1654,ALG11,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9058667280942652
1654,ALG11,TMEMmyc,1.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9058667280942652
1654,ARHGAP1,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9056007612311612
1654,ARHGAP1,TMEMmyc,3.0,0.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9056007612311612
1654,ARHGEF26,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9053524427155815
1654,ARHGEF26,TMEMmyc,2.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9053524427155815
1654,ATAD2,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9050835576096599
1654,ATAD2,TMEMmyc,1.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9050835576096599
1654,BCAS3,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9050642930587383
1654,BCAS3,TMEMmyc,3.0,0.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.9050642930587383
1654,CDK2AP1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.905409862871669
1654,CDK2AP1,TMEMmyc,0.0,3.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.905409862871669
1654,CRAMP1,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.905771912147543
1654,CRAMP1,TMEMmyc,1.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.905771912147543
1654,CTSC,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.905505408464728
1654,CTSC,TMEMmyc,2.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.905505408464728
1654,DAB2IP,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.905999150301528
1654,DAB2IP,TMEMmyc,1.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,3.0941776714096154e-41,2.236613456353026e-37,0.905999150301528
1654,DHTKD1,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.236613456353026e-37,0.9056198086966109
