"Genotype","cell_num","Puncta_ID","Puncta_Circularity","Puncta_Area","Intra_Puncta_Green_Intensity","Intra_Puncta_Red_Intensity","GreenRed_Ratio","Cell_Body_Area","Puncta_Count","Cell_Avg_Puncta_Green_Intensity","Cell_Avg_Puncta_Red_Intensity","Puncta_Count_Normalized_to_Cell_Area","Cell_Avg_Puncta_GreenRedRatio"
"MUT","1","6","0.83294187974564704","0.572443861323482","199.39130434782601","404.91815856777401","0.49242371607410262","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","7","0.99128125187961003","0.428966883293556","164.48805460750799","309.37883959044302","0.53167196187450294","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","8","0.31920101428086001","5.98943180735132","167.71767294060101","330.666829626008","0.50721045449370794","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","9","0.96807741907547995","0.442143340459569","175.76490066225099","338.17549668874102","0.51974463668497595","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","10","0.939181838615609","0.455319797625583","147.51446945337599","293.26366559485501","0.50300970341538276","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","11","0.97566739172331696","0.411398273738871","161.81494661921701","322.42348754448398","0.5018708402777009","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","12","0.95525520160428101","0.436287137274674","178.56375838926101","340.81543624160997","0.52393095910912346","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","13","0.99128125187961003","0.428966883293556","128.17406143344701","187.941979522184","0.68198739717071988","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","14","0.922949827460949","0.453855746829359","137.64193548386999","232.629032258064","0.59167995562642706","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
"MUT","1","15","0.88409759668825605","0.509489677085861","156.008620689655","321.52298850574698","0.48521762445258704","233.84551342683699","27","154.12563490606399","307.98604736552102","11.546084252092101","0.50043057542521197"
